0.0,
-0.00018096031621617215,
-0.0011148119840722615,
0.003419671275985081,
0.0005111326119093818,
0.001103660324403677,
-0.0013513435649130656,
0.004182038555574863,
-0.0015389137870549519,
0.0016885258285732618,
0.0012619968078233512,
-0.0020878560524586476,
0.0005299434927685809,
-6.845033208335849e-05,
0.001765303218228098,
-0.0012708142303594627,
0.0022367618852676685,
0.003644535834180118,
-0.004867171344184129,
0.00031505080037774746,
-0.00536398469893129,
-0.004391791060342598,
0.002925296508966113,
-0.001515774542294679,
-0.0036591690366449825,
0.002618568609104699,
-0.004614282623474963,
0.004512927517129839,
0.0015201924425056745,
-0.0005799185713630806,
0.0025622811246730492,
-0.0035169240926080647,
-0.002237718527640098,
0.0038892759596507176,
0.003139101510456044,
0.004459097817195001,
-0.0026338537924566197,
0.0018543220527318383,
-0.0016874464805178846,
-0.00254825146045512,
0.00024076525573324403,
-0.002149447283767536,
0.0016057690477646602,
0.0029431863839111116,
0.0033762095976097584,
0.004464864747887098,
-0.002209350538599608,
0.004935678398764853,
-0.0025343996697868576,
-0.003084192482357473,
